,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
5331,238827712,2022-05-09 08:49:14.537000+00:00,2022-05-09T08:49:14.537Z,大推,0.0,"['大', '推']"
5334,238827712,2022-05-11 23:19:36.590000+00:00,2022-05-11T23:19:36.590Z,哈哈軍人就奴性重啊帶隊官整天在那邊大家努力做拼命做然後休息有夠少他們自己公司工人就都正常休息阿叫我們軍人要遵守公司規定公司一定拿錢給高官啦我也是其中一員義務役但是排班表部分我覺得客觀一點講大家都是為了自己權益不會有人投那個機車訓練役為了自己利益排出來班表啦所以當然大部分人都投原班表這是個民主社會跟投政治人物一樣難到你支持候選人沒上你也要鬧如果真投了新班表也是有人被犧牲所以討論還是客觀點,0.0,"['哈哈', '軍人', '就', '奴性', '重', '啊', '帶隊', '官整', '天', '在', '那邊', '大家', '努力', '做', '拼命', '做', '然後', '休息', '有夠', '少', '他們', '自己', '公司', '工人', '就', '都', '正常', '休息', '阿叫', '我們', '軍人要', '遵守', '公司', '規定', '公司', '一定', '拿', '錢給', '高官', '啦', '我', '也', '是', '其中', '一員', '義務役', '但是', '排班表部分', '我', '覺得', '客觀', '一點', '講', '大家', '都是', '為', '了', '自己', '權益', '不會', '有', '人', '投', '那個', '機車', '訓練役', '為', '了', '自己', '利益', '排', '出來', '班表', '啦', '所以', '當然', '大部分', '人', '都', '投', '原班', '表', '這是', '個民主', '社會', '跟', '投政治', '人物', '一樣', '難到', '你', '支持', '候選人', '沒上', '你', '也', '要', '鬧', '如果', '真', '投', '了', '新班表', '也', '是', '有', '人', '被', '犧牲', '所以', '討論', '還是', '客觀', '點']"
5336,238827712,2022-05-12 05:16:58.189000+00:00,2022-05-12T05:17:21.903Z,B22提出改班表人在排班制前就因為健康因素不需要繼續工作了何來為了自己利益之說他原意只是覺得沒有足夠休息就換班大家會太操勞舊班表和新班表差別在於沒有當週需要做到兩種班別好壞沒有一定不過權益跟休假是一樣有疑慮地方人人都有提出意見權利你一副看透一切口氣真搞笑,0.0,"['B22', '提出', '改班表人', '在', '排班制', '前', '就', '因為', '健康', '因素', '不', '需要', '繼續', '工作', '了', '何來', '為', '了', '自己', '利益', '之說', '他', '原意', '只是', '覺得', '沒有', '足夠', '休息', '就', '換班', '大家', '會太操', '勞舊', '班表', '和', '新班表', '差別', '在於', '沒有', '當週', '需要', '做到', '兩種', '班別', '好壞', '沒有', '一定', '不過', '權益', '跟', '休假', '是', '一樣', '有疑慮', '地方', '人人', '都', '有', '提出', '意見', '權利', '你', '一副', '看透', '一切', '口氣', '真', '搞', '笑']"
5337,238827712,2022-05-14 04:24:15.574000+00:00,2022-05-14T04:24:15.574Z,不過說真我們夜班還真沒看過義務役出現是有看到幾個穿新訓發運動服但都是日班我也要支持你國軍撤離快篩隊為了400元把肝賣了怎麼算都不合理啊到底誰想要400元接夜班😭,0.0,"['不過', '說', '真', '我們', '夜班', '還真', '沒', '看', '過義務役', '出現', '是', '有', '看', '到', '幾個', '穿新訓', '發運動服', '但', '都是', '日班', '我', '也', '要', '支持', '你', '國軍', '撤離', '快篩', '隊為', '了', '400', '元', '把', '肝', '賣', '了', '怎麼', '算', '都', '不合理', '啊', '到底', '誰', '想要', '400', '元接', '夜班', '😭']"
5339,238827712,2022-05-14 12:10:41.541000+00:00,2022-05-14T12:10:41.541Z,B22看看這個新聞你也身在其中就甘願這樣是你權利不願意人也有自己權利發表意見我不知道排班表人有沒有顧到自己利益但我知道新長比舊正常我出社會八年沒有遇過有工廠班表是在班中間休假絕對都是讓你同一班別做完換班就是害怕有人身體受不了如果你有聽過血汗工廠那種奇怪班表我跟你說不同在哪裡是外面工廠班表正常但是要求你支援可是公事班表不會有班中休假換班連做這種事情,0.0,"['B22', '看看', '這個', '新聞', '你', '也', '身', '在', '其中', '就', '甘願', '這樣', '是', '你', '權利', '不願', '意人', '也', '有', '自己', '權利', '發表', '意見', '我', '不知道', '排班表人', '有', '沒有', '顧到', '自己', '利益', '但', '我', '知道', '新長', '比舊', '正常', '我', '出', '社會', '八年', '沒有', '遇過', '有', '工廠', '班表是', '在', '班', '中間', '休假', '絕對', '都是', '讓你', '同', '一班', '別', '做', '完換班', '就是', '害怕', '有', '人身', '體', '受不了', '如果', '你', '有', '聽', '過血汗', '工廠', '那種', '奇怪', '班表', '我', '跟', '你', '說', '不同', '在', '哪裡', '是', '外面', '工廠', '班表正常', '但是', '要求', '你', '支援', '可是', '公事', '班表', '不會', '有班中', '休假', '換班連', '做', '這種', '事情']"
5340,238827712,2022-05-14 12:12:00.769000+00:00,2022-05-14T12:12:00.769Z,讓各位久等了今天晚上我會把其他事情打出來另外還有外單位義務役跟我弟訴苦確診後措施打出來,0.0,"['讓', '各位', '久等', '了', '今天', '晚上', '我會', '把', '其他', '事情', '打', '出來', '另外', '還有', '外', '單位', '義務役', '跟', '我', '弟訴', '苦確', '診後措施', '打', '出來']"
5341,238827712,2022-05-15 00:04:19.408000+00:00,2022-05-15T00:04:19.408Z,B27你弟是進來服兵役不是進來當少爺來這邊工作還有錢領什麼都不管他在軍隊集合點名評內務站哨一堆事來這邊也沒有叫他曬太陽這就是任務如果這種簡單工作就受不了之後出社會也就是靠家裡草莓,0.0,"['B27', '你弟', '是', '進來服', '兵役', '不是', '進來當', '少爺', '來', '這邊', '工作', '還有', '錢領', '什麼', '都', '不管', '他', '在', '軍隊', '集合點', '名評', '內務', '站', '哨', '一堆', '事來', '這邊', '也', '沒有', '叫', '他', '曬', '太陽', '這', '就是', '任務', '如果', '這種', '簡單', '工作', '就', '受不了', '之後', '出社會', '也', '就是', '靠家裡', '草莓']"
5342,238827712,2022-05-15 01:31:46.850000+00:00,2022-05-15T01:31:46.850Z,B29服兵役義務是學習打仗時生存技能不是為了讓政府名正言順凹人他在部隊集合點名評內務站哨一堆事那是不是學會紀律打仗是不是要用他跑去快篩隊幹了什麼圖利廠商學怎麼當廠工順便告訴你要講有沒有出社會你跟他比可能差得遠我弟自己有一間手搖杯店你有什麼講他草莓你夠格嗎他開店貸款200萬一年還完論壓力你比他大這是任務這是人格污辱吧如果你要在那邊扯服從我就只能說你奴你現在就告訴我叫二兵去快篩隊確診了把人丟回家讓全家一起34密切接觸者34完還不給你活逼著你再去快篩隊這叫任務這叫逼人確診吧不給人飯吃叫人家拿自己錢叫外送這是在學什麼學他媽刻苦耐勞還是學怎麼當盤子你先把這些問題都回答我我們再來談論別東西,1.0,"['B29', '服', '兵役', '義務', '是', '學習', '打仗', '時生', '存技能', '不是', '為', '了', '讓', '政府', '名正言順', '凹人', '他', '在', '部隊', '集合點', '名評', '內務', '站', '哨', '一堆', '事', '那', '是', '不是', '學會', '紀律', '打仗', '是', '不是', '要用', '他', '跑', '去', '快篩', '隊幹', '了', '什麼', '圖利', '廠', '商學', '怎麼', '當廠', '工順', '便', '告訴', '你', '要', '講有', '沒有', '出社會', '你', '跟', '他', '比', '可能', '差得遠', '我弟', '自己', '有', '一間', '手搖', '杯店', '你', '有', '什麼', '講他', '草莓', '你', '夠格', '嗎', '他', '開店', '貸款', '200', '萬', '一年', '還完論', '壓力', '你', '比', '他', '大', '這是', '任務', '這是', '人格', '污辱', '吧', '如果', '你', '要', '在', '那邊', '扯', '服', '從', '我', '就', '只能', '說', '你', '奴', '你', '現在', '就', '告訴', '我', '叫', '二兵', '去', '快篩', '隊', '確診', '了', '把', '人', '丟', '回家', '讓', '全家', '一起', '34', '密切接觸', '者', '34', '完還', '不給', '你', '活逼著', '你', '再', '去', '快篩', '隊', '這叫', '任務', '這叫', '逼', '人確', '診吧', '不給', '人飯', '吃', '叫', '人家', '拿', '自己', '錢', '叫', '外', '送', '這是', '在', '學', '什麼', '學', '他媽', '刻苦耐勞', '還是', '學', '怎麼', '當盤子', '你', '先', '把', '這些', '問題', '都', '回答', '我', '我們', '再來', '談論別', '東西']"
5343,238827712,2022-05-15 02:03:37.834000+00:00,2022-05-15T02:03:37.834Z,B30你知道如果真不適應可以跟原部隊說回去換人他怎麼不反應我們已經有人回去換人現在這個情況哪個部隊都是一堆人確診飯有給哦我是吃很飽不知道為什麼他沒吃到要叫伙房整天待命為了等他起床吃飯什麼時候有飯都有表定四個月在哪都一樣只會做沒有意義事我們很多人都有很多事業只是很多事情可以反應我也覺得某些配套措施不好但是我覺得上面也有在想怎麼讓我們更輕鬆現在國家情況就是這樣把自己適應力調高吧,1.0,"['B30', '你', '知道', '如果', '真', '不適', '應', '可以', '跟', '原部隊', '說', '回去', '換人', '他', '怎麼', '不', '反應', '我們', '已經', '有人', '回去', '換人', '現在', '這個', '情況', '哪個', '部隊', '都是', '一堆', '人確', '診飯', '有給', '哦', '我', '是', '吃', '很飽', '不知道', '為什麼', '他', '沒', '吃', '到', '要', '叫', '伙房', '整天', '待命', '為', '了', '等', '他', '起床', '吃飯', '什麼', '時候', '有', '飯', '都', '有表定', '四個', '月', '在', '哪', '都', '一樣', '只會', '做', '沒有', '意義', '事', '我們', '很多', '人', '都', '有', '很多', '事業', '只是', '很多', '事情', '可以', '反應', '我', '也', '覺得', '某些', '配套', '措施', '不好', '但是', '我', '覺得', '上面', '也', '有', '在', '想', '怎麼', '讓我', '們', '更', '輕', '鬆', '現在', '國家', '情況', '就是', '這樣', '把', '自己', '適', '應力', '調高', '吧']"
5344,238827712,2022-05-15 05:12:41.702000+00:00,2022-05-15T05:13:18.632Z,B31跟原部隊講啦說人手不足一有人手就換啊啊等到現在換了沒至少我弟是沒回去啦一堆人確診你軍醫院量能呢國軍醫院可悲到一個兵都接不了然後把人塞在寢室不然就丟回家讓義務役全家隔離另外伙食方面我是不知道你飽不飽但我弟是說週末沒吃飽過叫他們叫外送是之前發生你說伙房假日不上班啊防疫視同作戰你伙房兵可以放假打仗時候伙房假日不上班前線作戰全部沒飯吃戰場笑話吧配套措施不好就要改不是一直說在想在想如果把適應能力調高要配合不合理制度奴下去那我是看不過去我弟也是一直幹一直上產線他可以不敢講我當他哥我不能不高興不能出來發聲洗地真不要洗這麼沒邏輯,1.0,"['B31', '跟', '原部', '隊講', '啦', '說', '人手不足', '一有', '人手', '就換', '啊', '啊', '等', '到', '現在', '換了', '沒至少', '我弟', '是', '沒', '回去', '啦', '一堆', '人確', '診', '你', '軍', '醫院量', '能', '呢', '國軍', '醫院', '可悲', '到', '一個', '兵', '都', '接', '不', '了然', '後', '把', '人', '塞', '在', '寢室', '不然', '就', '丟', '回家', '讓', '義務役', '全家', '隔離', '另外', '伙食', '方面', '我', '是', '不知道', '你', '飽', '不', '飽', '但', '我弟', '是', '說', '週末', '沒', '吃飽', '過叫', '他們', '叫外', '送', '是', '之前', '發生', '你', '說', '伙房', '假日', '不', '上班', '啊', '防疫視', '同', '作戰', '你', '伙房', '兵', '可以', '放假', '打仗', '時候', '伙房', '假日', '不', '上班', '前線', '作戰', '全部', '沒飯', '吃', '戰場', '笑', '話', '吧', '配套', '措施', '不好', '就要', '改', '不是', '一直', '說', '在', '想', '在', '想', '如果', '把', '適', '應能', '力調', '高要', '配合', '不合理', '制度', '奴', '下去', '那', '我', '是', '看', '不過', '去', '我弟', '也', '是', '一直', '幹', '一直', '上產線', '他', '可以', '不敢', '講我當', '他哥', '我', '不能不', '高興', '不能', '出來', '發聲', '洗', '地', '真', '不要', '洗', '這麼', '沒邏輯']"
5345,238827695,2022-05-08 06:53:55.115000+00:00,2022-05-08T06:53:55.115Z,♥♥,1.0,"['♥', '♥']"
5346,238827587,2022-05-08 07:15:17.968000+00:00,2022-05-08T07:16:09.025Z,安卓手機音樂辨識APP搜GeorgesBizetCarmenSuiteNo1IntermezzoyoutubeLMOja0VXXtA,0.0,"['安卓', '手機', '音樂辨識', 'APP', '搜', 'GeorgesBizetCarmenSuiteNo1IntermezzoyoutubeLMOja0VXXtA']"
5347,238827552,2022-05-08 06:34:35.376000+00:00,2022-05-08T06:34:35.376Z,身為女生都暈好啦認真回答我男友也會吉他他覺得會音樂女生超加分,2.0,"['身為', '女生', '都', '暈好', '啦', '認真', '回答', '我', '男友', '也', '會', '吉他', '他', '覺得', '會音樂', '女生', '超加分']"
5348,238827552,2022-05-08 06:39:55.646000+00:00,2022-05-08T06:40:34.020Z,我剛試著想像了一下如果換成是女生話可能是鋼琴好像會說會彈鋼琴女生很有氣質之類但我覺得不論是鋼琴還是吉他等等各位都很厲害拿來當作一開始認識話題很不錯之外當成平時娛樂甚至能當職業話都很好,1.0,"['我', '剛試', '著', '想像', '了', '一下', '如果', '換成', '是', '女生', '話', '可能', '是', '鋼琴', '好像', '會', '說', '會', '彈鋼琴', '女生', '很', '有', '氣質', '之類', '但', '我', '覺得', '不論是', '鋼琴', '還是', '吉他', '等', '等', '各位', '都', '很', '厲害', '拿來', '當作', '一開', '始', '認識話題', '很', '不錯', '之外', '當成', '平時', '娛樂', '甚至', '能當', '職業', '話', '都', '很', '好']"
5349,238827552,2022-05-08 06:42:45.027000+00:00,2022-05-08T08:17:32.813Z,你一定沒看過大東吉他,1.0,"['你', '一定', '沒', '看過', '大東', '吉他']"
5350,238827552,2022-05-08 06:53:43.793000+00:00,2022-05-08T06:53:43.793Z,多少會,0.0,"['多少', '會']"
5351,238827552,2022-05-08 07:54:44.217000+00:00,2022-05-08T07:54:44.217Z,就覺得有點氣質這樣,0.0,"['就', '覺得', '有點', '氣質', '這樣']"
5352,238827552,2022-05-08 08:35:59.035000+00:00,2022-05-08T08:35:59.035Z,彈fingerstyle女生超加分,1.0,"['彈', 'fingerstyle', '女生', '超加分']"
5353,238827552,2022-05-08 09:54:12.417000+00:00,2022-05-08T09:54:12.417Z,不會特別加分但還是會很高興我們能一起合奏,1.0,"['不會', '特', '別加', '分', '但', '還是', '會', '很', '高興', '我們', '能', '一起', '合奏']"
5354,238827552,2022-05-09 08:13:47.406000+00:00,2022-05-09T08:14:06.150Z,男生會彈吉他很加分然後你周圍就會多一群男,0.0,"['男生會彈', '吉他', '很加分', '然後', '你', '周圍', '就', '會', '多', '一群', '男']"
5355,238827552,2022-05-10 13:10:05.376000+00:00,2022-05-10T13:10:05.376Z,我會彈鋼琴吉他電木皆可現在在學小提琴🎻從來沒被誇過有氣質看來是我本身問題了呢🥲,0.0,"['我會', '彈鋼琴', '吉他', '電木', '皆', '可', '現在', '在', '學', '小提琴', '🎻', '從來沒', '被', '誇過', '有', '氣質', '看來', '是', '我', '本身', '問題', '了', '呢', '\U0001f972']"
5356,238827531,2022-05-08 06:58:16.835000+00:00,2022-05-08T06:58:16.835Z,歪個樓學姐化妝低胸露肚短褲怎麼了回到主題其實我很早之前就說過要騙一個女生進房間強姦這方法幾乎能成功用一個女生騙一個女生成功率太高而且基本上難以防範性侵害很多是熟人所以和熟人回家也是很危險不是只有男人危險而已,309.0,"['歪個', '樓', '學姐', '化妝', '低胸', '露肚', '短褲', '怎麼', '了', '回到', '主題', '其實', '我', '很早', '之前', '就', '說', '過要', '騙', '一個', '女生', '進', '房間', '強姦', '這方法', '幾乎', '能成', '功用', '一個', '女生', '騙', '一個', '女生', '成功率', '太高而且', '基本上', '難', '以防', '範性', '侵害', '很多', '是', '熟', '人', '所以', '和', '熟', '人', '回家', '也', '是', '很', '危險', '不是', '只有', '男人', '危險', '而', '已']"
5357,238827531,2022-05-08 06:59:40.953000+00:00,2022-05-08T06:59:40.953Z,老鴇拉客概念耶,0.0,"['老鴇', '拉客', '概念', '耶']"
5358,238827531,2022-05-08 11:40:13.754000+00:00,2022-05-08T11:40:13.754Z,越想越不對勁cd太長了請記得升級技能,65.0,"['越想', '越', '不對勁', 'cd', '太長', '了', '請', '記得', '升級', '技能']"
5359,238827531,2022-05-08 12:46:38.388000+00:00,2022-05-08T12:46:47.168Z,希望受害女生能早日走出來🥺🥺,12.0,"['希望', '受害', '女生', '能', '早', '日', '走', '出來', '🥺', '🥺']"
5360,238827531,2022-05-09 10:05:55.436000+00:00,2022-05-09T10:05:55.436Z,男方還私訊表示自己有黑白兩道背景若不刪文就動用手段處理一下我是覺得大一就這樣也是蠻酷可悲中央素質為什麼有一堆猴子🐒,232.0,"['男方', '還私訊表示', '自己', '有', '黑白', '兩道', '背景', '若', '不刪', '文就', '動用', '手段', '處理', '一下', '我', '是', '覺得', '大一', '就', '這樣', '也', '是', '蠻酷', '可悲', '中央', '素質', '為什麼', '有', '一堆', '猴子', '🐒']"
5361,238827531,2022-05-09 11:30:51.420000+00:00,2022-05-09T11:30:51.420Z,中央要淪落到什麼程度QSrank每年大退就算了還每年爆一單大新聞幸好有上岸成功刷上清大,17.0,"['中央', '要', '淪落', '到', '什麼', '程度', 'QSrank', '每年', '大退', '就算', '了', '還每', '年', '爆一單', '大新聞', '幸好', '有', '上岸', '成功', '刷', '上清', '大']"
5362,238827531,2022-05-09 13:33:48.039000+00:00,2022-05-09T13:35:21.277Z,阿怎麼校板上看到是這樣該不會真是學妹本人發吧風向不對開始到處轉發嗎icom8pxovbnicomnHn4K6Oicom4pzLLjO,22.0,"['阿', '怎麼', '校板', '上', '看', '到', '是', '這樣', '該', '不會', '真是', '學妹', '本人發', '吧', '風向', '不', '對開', '始', '到處', '轉發', '嗎', 'icom8pxovbnicomnHn4K6Oicom4pzLLjO']"
5363,238827531,2022-05-10 01:31:37.781000+00:00,2022-05-10T01:31:37.781Z,icommXdgaZ3到底受害者是,1.0,"['icommXdgaZ3', '到底', '受害者', '是']"
5364,238827531,2022-05-10 03:40:49.187000+00:00,2022-05-10T03:40:49.187Z,中央猴出現啦,0.0,"['中央', '猴', '出現', '啦']"
5365,238827531,2022-05-10 05:08:54.097000+00:00,2022-05-10T05:10:09.435Z,中央不是壁虎就是下藥迷姦趕快倒一倒跟旁邊中原併校算了啊對了電機系獨立出來就好,10.0,"['中央', '不是', '壁虎', '就是', '下藥', '迷姦', '趕快', '倒', '一倒', '跟', '旁邊', '中原', '併', '校算', '了', '啊', '對', '了', '電機系', '獨立', '出來', '就', '好']"
5366,238827531,2022-05-10 05:16:26.145000+00:00,2022-05-10T05:16:26.145Z,四大政大山興正兩科海洋北大其他學店中央,2.0,"['四', '大政', '大山', '興正', '兩科海洋', '北大', '其他', '學店', '中央']"
5367,238827531,2022-05-10 08:45:57.239000+00:00,2022-05-10T08:45:57.239Z,妹妹在中央性侵人姊姊會在政大性侵人嗎,0.0,"['妹妹', '在', '中央', '性', '侵人', '姊姊', '會', '在', '政大性', '侵人', '嗎']"
5368,238827531,2022-05-10 08:46:22.778000+00:00,2022-05-10T08:46:22.778Z,趕快轉政大板,1.0,"['趕快', '轉政', '大板']"
5369,238827531,2022-05-10 12:18:48.333000+00:00,2022-05-10T12:18:48.333Z,這是個人品德跟學校無關好嘛別在黑中央了,7.0,"['這是', '個人', '品德', '跟', '學校', '無關', '好', '嘛', '別', '在', '黑', '中央', '了']"
5370,238827531,2022-05-10 13:47:12.347000+00:00,2022-05-10T13:47:12.347Z,男大生姓田嗎,2.0,"['男', '大生', '姓田', '嗎']"
5371,238827531,2022-05-10 20:03:02.921000+00:00,2022-05-10T20:03:02.921Z,還好當初沒將就中央stickerassetsdcardtwimagesd2472222f7448b9ce5716a419e625corigpng,0.0,"['還好', '當初', '沒將', '就', '中央', 'stickerassetsdcardtwimagesd2472222f7448b9ce5716a419e625corigpng']"
5372,238827531,2022-05-10 21:39:40.727000+00:00,2022-05-10T21:39:40.727Z,好扯哦中央欸,0.0,"['好', '扯', '哦', '中央', '欸']"
5373,238827531,2022-05-11 04:05:25.818000+00:00,2022-05-11T04:05:25.818Z,女生約女生去給一群男生上SOD有拍一系列這種系列名稱忘了,0.0,"['女生', '約', '女生', '去給', '一群', '男生', '上', 'SOD', '有', '拍', '一系列', '這種', '系列', '名稱', '忘', '了']"
5374,238827531,2022-05-11 04:46:48.423000+00:00,2022-05-11T04:46:48.423Z,其實中央女生比較open喔,1.0,"['其實', '中央', '女生', '比較', 'open', '喔']"
5375,238827531,2022-05-11 05:56:11.522000+00:00,2022-05-11T05:56:11.522Z,中央不意外看起來只剩電機系有前途看要不要改名中央電機學院,0.0,"['中央', '不', '意外', '看起', '來', '只', '剩電', '機系', '有', '前途', '看要', '不要', '改名', '中央', '電機', '學院']"
5377,238827531,2022-05-11 09:03:35.808000+00:00,2022-05-11T09:03:35.808Z,妹妹在中央性侵人姊姊會在政大性侵人嗎,0.0,"['妹妹', '在', '中央', '性', '侵人', '姊姊', '會', '在', '政大性', '侵人', '嗎']"
5378,238827531,2022-05-11 15:45:34.663000+00:00,2022-05-11T15:45:34.663Z,B39不用我助長女性受到性騷擾跟性侵機率遠高於男性是客觀數據所以女性易受騷擾是不爭事實另外女性易受到騷擾不等於柔弱這個邏輯哪來無法認知到被騷擾者心理只會用一句越想越不對勁嘲諷性平跟邏輯都不及格,2.0,"['B39', '不用', '我', '助長', '女性', '受到', '性騷擾', '跟性', '侵機率', '遠', '高', '於', '男性', '是', '客觀', '數據', '所以', '女性', '易受', '騷擾', '是', '不爭', '事實', '另外', '女性', '易', '受到', '騷擾', '不等', '於', '柔弱', '這個', '邏輯', '哪來', '無法', '認知', '到', '被', '騷擾', '者', '心理', '只會用', '一句', '越想', '越', '不對勁', '嘲諷', '性平', '跟', '邏輯', '都', '不及格']"
5379,238827531,2022-05-11 16:39:59.927000+00:00,2022-05-11T16:39:59.927Z,好沒品喔幹,0.0,"['好', '沒品', '喔', '幹']"
5380,238827531,2022-05-12 02:26:45.945000+00:00,2022-05-12T02:30:12.706Z,B23哇靠我已經說女生易受騷擾不等於柔弱了你有眼睛嗎女性被性侵跟被性騷擾比例比男生多應該是常識需要我找給你嗎喔忘了你連文章都看不懂找給你你也看不到跟你這種辯論真心累,2.0,"['B23', '哇', '靠', '我', '已經', '說', '女生', '易受', '騷擾', '不等', '於', '柔弱', '了', '你', '有', '眼睛', '嗎', '女性', '被', '性侵', '跟', '被', '性騷擾', '比例', '比', '男生', '多', '應該', '是', '常識', '需要', '我', '找給', '你', '嗎', '喔', '忘', '了', '你', '連文章', '都', '看', '不', '懂', '找給', '你', '你', '也', '看', '不到', '跟', '你', '這種', '辯論', '真', '心累']"
5381,238827529,2022-05-08 06:33:51.685000+00:00,2022-05-08T06:33:51.685Z,同問🤩,0.0,"['同問', '🤩']"
5382,238827529,2022-05-08 06:47:49.824000+00:00,2022-05-08T06:47:49.824Z,這個唷🍒ピスケうさぎベリーベリーフェスティバルlinemeSshopthemedetailid84f8e199a8444b9c91ce74864898d4langjareflsh_themeDetail,4.0,"['這個', '唷', '🍒', 'ピ', 'ス', 'ケ', 'う', 'さ', 'ぎ', 'ベ', 'リ', 'ー', 'ベ', 'リ', 'ー', 'フ', 'ェ', 'ス', 'テ', 'ィ', 'バ', 'ル', 'linemeSshopthemedetailid84f8e199a8444b9c91ce74864898d4langjareflsh', '_', 'themeDetail']"
5383,238827529,2022-05-08 07:12:56.139000+00:00,2022-05-08T07:12:56.139Z,天啊大感謝,0.0,"['天', '啊', '大', '感謝']"
5384,238827507,2022-05-09 17:19:28.161000+00:00,2022-05-09T17:19:46.478Z,那個app只是讓妳自己注意一下而已不用隔離,0.0,"['那個', 'app', '只是', '讓', '妳自己', '注意', '一下', '而', '已', '不用', '隔離']"
5385,238827490,2022-05-08 06:17:17.293000+00:00,2022-05-08T06:17:17.293Z,送輪胎好狂喔,6.0,"['送輪胎', '好', '狂', '喔']"
5386,238827490,2022-05-08 08:32:41.579000+00:00,2022-05-08T08:32:41.579Z,很特別母親節🎁,2.0,"['很特別', '母親節', '🎁']"
5387,238827490,2022-05-08 10:51:14.030000+00:00,2022-05-08T10:51:14.030Z,介紹完整喔👍👍👍,1.0,"['介紹', '完整', '喔', '👍', '👍', '👍']"
5388,238827490,2022-05-08 11:59:51.883000+00:00,2022-05-08T11:59:51.883Z,顏色看起來是Fujifilm,2.0,"['顏色', '看', '起來', '是', 'Fujifilm']"
5389,238827490,2022-05-09 10:51:54.580000+00:00,2022-05-09T10:51:54.580Z,即使不在媽媽身邊一樣可以陪著媽媽走遍大街小巷這個禮物太讚了吧,3.0,"['即使', '不', '在', '媽媽', '身邊', '一樣', '可以', '陪著', '媽媽', '走遍', '大街小巷', '這個', '禮物', '太', '讚', '了', '吧']"
5390,238827490,2022-05-09 15:33:58.311000+00:00,2022-05-09T15:33:58.311Z,不錯啊實用安全😂,2.0,"['不錯', '啊', '實用', '安全', '😂']"
5391,238827490,2022-05-11 02:14:08.359000+00:00,2022-05-11T02:14:08.359Z,禮物送輪胎貼心實用一百分💯💯小管家要放進我禮物筆記裡而且百度人好細心都有記下家人說話媽媽體驗心得也好讚母女都是細心小天才👑👑👑,1.0,"['禮物', '送', '輪胎', '貼心', '實用', '一百分', '💯', '💯', '小管家', '要', '放進', '我', '禮物筆', '記裡', '而且', '百度', '人', '好', '細心', '都', '有', '記下', '家人', '說話', '媽媽', '體驗', '心得', '也好', '讚', '母', '女', '都是', '細心', '小', '天才', '👑', '👑', '👑']"
5392,238827472,2022-05-08 06:16:00.389000+00:00,2022-05-08T06:16:00.389Z,請自主應變,8.0,"['請', '自主', '應變']"
5393,238827472,2022-05-08 06:41:02.681000+00:00,2022-05-08T06:41:02.681Z,如果是無症狀或輕症請至附近採檢站做PCR如果人有發燒很不舒服往急診去做PCR跟開藥吃,1.0,"['如果', '是', '無症', '狀', '或', '輕症', '請', '至', '附近', '採檢站', '做', 'PCR', '如果', '人有', '發燒', '很', '不舒服', '往', '急診', '去', '做', 'PCR', '跟', '開藥', '吃']"
5394,238827472,2022-05-08 11:46:34.824000+00:00,2022-05-08T11:46:34.824Z,網路搜尋你附近篩檢站大部分都有網路預約而且現在有PCR診所大部分都耳鼻喉科查一下PCR地圖找附近診所做就好了確診沒事啦平常心看待有症狀前三天比較難熬PS確診第四天人,3.0,"['網路', '搜尋', '你', '附近', '篩檢站', '大部分', '都', '有', '網路', '預約', '而且', '現在', '有', 'PCR', '診所', '大部分', '都', '耳', '鼻', '喉科', '查', '一下', 'PCR', '地圖', '找', '附近', '診所', '做', '就', '好', '了', '確診', '沒事', '啦', '平常心', '看待', '有', '症狀', '前三天', '比較', '難', '熬', 'PS', '確診', '第', '四天', '人']"
5396,238827472,2022-05-09 09:47:13.286000+00:00,2022-05-09T09:47:13.286Z,找附近聯合醫院pcr可以上網預約,0.0,"['找', '附近', '聯合', '醫院', 'pcr', '可以', '上網', '預約']"
5397,238827472,2022-05-09 09:50:02.724000+00:00,2022-05-09T09:50:02.724Z,hi各位後來我自己走路到醫院了,3.0,"['hi', '各位', '後來', '我', '自己', '走路', '到', '醫院', '了']"
5398,238827471,2022-05-08 07:08:24.481000+00:00,2022-05-08T07:08:24.481Z,沒有這種事,1.0,"['沒有', '這種', '事']"
5399,238827430,2022-05-08 06:35:06.881000+00:00,2022-05-08T06:35:06.881Z,通報📢好像有人對這篇文章有新想法唷快來去看看wwwdcardtwfmoodp238827628,0.0,"['通報', '📢', '好像', '有', '人', '對', '這篇', '文章', '有', '新', '想法', '唷', '快來', '去', '看', '看', 'wwwdcardtwfmoodp238827628']"
5400,238827430,2022-05-08 07:00:21.767000+00:00,2022-05-08T07:00:21.767Z,念護理五專如何出來一定有工作歐,0.0,"['念護理', '五專', '如何', '出來', '一', '定有', '工作', '歐']"
5401,238827430,2022-05-08 07:44:45.732000+00:00,2022-05-08T07:44:45.732Z,隨便反正選哪個進去後不認真唸也是去學店大學,0.0,"['隨便', '反正', '選', '哪個', '進去', '後', '不', '認真', '唸', '也', '是', '去', '學店', '大學']"
