留言名字,回覆內容
"

ppopp747

","
建議除了討論區除了給分功能相對的也要有扣分功能當扣分累計到一個程度將限制發言例只能回覆不可發文以及每日限制發文回覆次數雖然好文章越來越少是很可惜但是爛文章越來越多更讓人感慨這現象尤其時事版非常嚴重許多帳號不論立場擺明就不是想理性討論而是極度偏頗帶風向造成版面凌亂不堪就更少人想參與另外我認為既然時事區和新聞媒體性質相似應該要嚴格規定資訊傳播的正確性也就是防止有心人製造或散佈假新聞即使是轉載也一樣針對此行為的帳號以禁言甚至停權處理畢竟01既然是台灣數一數二的論壇指標對於減少社會亂源產生多少有些責任
"
"

Xantia_L

","
ppopp747 wrote:建議除了討論區除了給(恕刪)
01只有你佳芬。沒有扣分的。倒是檢舉應該 01很多小葉姵文。偷渡，蔣大喊窮 喊很用力。管妹。抓到應該加薪。不然只靠VIP01團隊 自己先全部加入VIP。
"
"

aavicky

","
喬大叔 wrote:不講話就像...(恕刪)
你很可愛
"
"

喬大叔

","
aavicky wrote:你很可愛(恕刪)
...
"
"

handful

","
這棟很像薩魯曼的樓還在蓋啊？
"
"

jicharlin

","
誠心+強力推薦 ""我是雪莉"" 版友，她發表的文章都頗受用的 !
"
"

jicharlin

","
chiang wrote:給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵
敝人都是直接留言給予感謝，以示誠意 !不過有給分的功能，請問為何沒有扣分的功能 ?
"
"

喬大叔

","
jicharlin wrote:敝人都是直接留言給予感謝，以示誠意 !不過有給分的功能，請問為何沒有扣分的功能 ?
站長只想讓會員間彼此有正面的鼓勵...
"
"

喬大叔

","
jicharlin wrote:誠心+強力推薦 ""我是雪莉"" 版友，她發表的文章都頗受用的 !
請問憂鬱的禮拜一如何用??...
"
"

aavicky

","
喬大叔 wrote:..aavicky wrote:你很可愛(恕刪)羞羞羞...挖鼻孔.(恕刪)
如果這個人真的找不出優點，還可以說你很可愛
"
"

aavicky

","
handful wrote:這棟很像薩魯曼的樓還在蓋啊？(恕刪)
那一棟？？？？
"
"

aavicky

","
喬大叔 wrote:站長只想讓會員間彼此有正面的鼓勵...(恕刪)
我都會給你加分，你都對我沒有正面鼓勵，小氣鬼
"
"

Xantia_L

","
aavicky wrote:我都會給你加分，你都(恕刪)
人家獎大 希望圖文並茂。而且文字華麗。虛而不誇。誇而不實。在01要得分。簡直是聯考 寫作文。沒有起承轉合...也要有平仄....不然就是五言 七言..譬如「勸君更盡一杯酒，西出陽關無故人」、「莫愁前路無知己，天下誰人不識君」、「山迴路轉不見君，雪上空留馬行處」等等短文小品 只是蔣大體會員工辛苦，不能要求太多。01資源有限。不然鄉民 鯛魚，酸民 文筆都不輸給企劃。
"
"

喬大叔

","
aavicky wrote:我都會給你加分，...(恕刪)
陪聊打賞的概念？⋯
"
"

喬大叔

","
aavicky wrote:如果這個人真的找...(恕刪)
找不出優點⋯
"
"

aavicky

","
Xantia_L wrote:人家獎大 希望圖文並茂。而且文字華麗。虛而不誇。誇而不實。在01要得分。簡直是聯考 寫作文。沒有起承轉合...也要有平仄....不然就是五言 七言..譬如「勸君更盡一杯酒，西出陽關無故人」、「莫愁前路無知己，天下誰人不識君」、「山迴路轉不見君，雪上空留馬行處」等等(恕刪)
你好像很有文學素養生命要浪費在美好事物上，要花那麼多美國時間 寫圖文並茂文章 ，我寧願把生命 時間花在有意義的事情上
"
"

aavicky

","
喬大叔 wrote:陪聊打賞的概念？⋯(恕刪)
是正面鼓勵
"
"

aavicky

","
喬大叔 wrote:找不出優點⋯(恕刪)

"
"

喬大叔

","
aavicky wrote:你好像很有文學素養[...(恕刪)
打屁算不算有意義⋯
"
"

喬大叔

","
aavicky wrote:是正面鼓勵[^++...(恕刪)
先說好⋯賣藝不賣身的⋯
"
"

喬大叔

","
aavicky wrote:[^++...(恕刪)
一方面正面鼓勵⋯另方面正面打擊是⋯
"
"

Xantia_L

","
喬大叔 wrote:一方面正面鼓勵⋯另方(恕刪)
那這篇 是打擊，還是鼓勵。可是賣藝 沒才藝。怎麼可能佳舞芬。
"
"

aavicky

","
喬大叔 wrote:一方面正面鼓勵⋯另方面正面打擊是⋯(恕刪)
一體兩面 的概念
"
"

aavicky

","
喬大叔 wrote:打屁算不算有意義⋯⋯(恕刪)
那是消磨時間 ，不算有意義
"
"

aavicky

","
Xantia_L wrote:那這篇 是打擊，還是鼓勵。XDXD可是賣藝 沒才藝。這我不行怎麼可能佳舞芬。(恕刪)
如果打嘴砲是才藝，我可以給喬大佳舞芬
"
"

aavicky

","
喬大叔 wrote:先說好⋯賣藝不賣身的(恕刪)
我最近吃得比較清淡你有什麼才藝？？？？
"
"

喬大叔

","
aavicky wrote:如果打嘴砲是才...(恕刪)
也算是種能力了⋯至少在開會時能派上用場⋯
"
"

喬大叔

","
aavicky wrote:我最近吃得比較清淡...(恕刪)
色夫太油膩了⋯嘴炮啊⋯
"
"

喬大叔

","
aavicky wrote:那是消磨時間 ，...(恕刪)
有意義⋯沒異議⋯
"
"

喬大叔

","
aavicky wrote:一體兩面 的概念[^...(恕刪)
那⋯三位一體呢⋯
"
"

Xantia_L

","
喬大叔 wrote:那⋯三位一體呢⋯(恕刪)
擬佳芬。
"
"

aavicky

","
喬大叔 wrote:色夫太油膩了⋯嘴炮啊(恕刪)
我最近胃口不好
"
"

aavicky

","
喬大叔 wrote:也算是種能力了⋯至少在開會時能派上用場⋯(恕刪)
你是把老闆唬得一愣一愣的
"
"

aavicky

","
喬大叔 wrote:那⋯三位一體呢⋯(恕刪)
哪來的三位？？？難道你 自帶 背後.....
"
"

Xantia_L

","
aavicky wrote:我最近胃口不好(恕刪)
你太久沒運動了。氣血不通。很正常。不動就是這 禁桃。可以去聽音樂 走路。可以跑到天橋上 鬼吼鬼叫。講白就是靠腰發洩一下。這原理跟捐血一樣。醋進代謝。
"
"

aavicky

","
Xantia_L wrote:擬佳芬。(恕刪)
你給分太浮誇，會被蔣大抗議
"
"

aavicky

","
Xantia_L wrote:你太久沒運動了。氣血可以跑到天橋上 鬼吼鬼叫。講白就是靠腰發洩一下。(恕刪)
我在病房有做氣功顫掌，會流汗。跑到天橋上 鬼吼鬼叫。會不會被抓去精神病院 ，你不要害我
"
"

aavicky

","
喬大叔 wrote:有意義⋯沒異議⋯(恕刪)
抗議，抗議，我不同意
"
"

喬大叔

","
aavicky wrote:抗議，抗議，我不同...(恕刪)
無笑⋯勃迴⋯
"
"

喬大叔

","
aavicky wrote:你是把老闆唬得一愣...(恕刪)
只是讓劇情照著劇本走⋯
"
"

aavicky

","
喬大叔 wrote:無笑⋯勃迴⋯(恕刪)
01𣎴可以用 錯別字
"
"

喬大叔

","
Xantia_L wrote:你太久沒運動了。...(恕刪)
不能在床上運動嗎⋯
"
"

aavicky

","
喬大叔 wrote:只是讓劇情照著劇本走(恕刪)
你有厚黑學 本事，真的要對你刮目相看
"
"

喬大叔

","
aavicky wrote:哪來的三位？？？...(恕刪)
不是指精，氣，神嗎⋯
"
"

喬大叔

","
aavicky wrote:你有厚黑學 本事，...(恕刪)
在靈衣學的⋯
"
"

aavicky

","
喬大叔 wrote:不能在床上運動嗎⋯(恕刪)
很多復健操都可以在床上做 ，但是床墊不要太軟
"
"

喬大叔

","
aavicky wrote:很多復健操都可...(恕刪)
操⋯就對了⋯
"
"

Xantia_L

","
喬大叔 wrote:不能在床上運動嗎⋯(恕刪)
這個要看中醫。懸絲把脈。但是醫學上 腦部某些部位受到刺激是好的。這可以轉到 健康養生版。問艾曼達。我也是零一醫學院。學的。比畢業證書還有用。
"
"

aavicky

","
Xantia_L wrote:這個要看中醫。懸絲把脈。但是醫學上 腦部某些部位受到刺激是好的。拇指向上這可以轉到 健康養生版。問艾曼達。我也是零一醫學院。學的。比畢業證書還有用。(恕刪)
我是上YouTube 醫學院 學健康的
"
"

雞腸小鳥肚

","
chiang wrote:各位知道我們設立給分(恕刪)
美女可以直接給分嗎?我最喜歡給01美女加分了..
"
"

Xantia_L

","
雞腸小鳥肚 wrote:美女可以直接給分嗎?(恕刪)
那你怎麼沒有佳舞芬看有加分，我在說01閒聊區最大的問題。來自 蔣蔣蔣.....蔣院長。不知反省檢討。下面的人也不敢反應實際狀況。 這在我們公司來說。都是一些無效的員工。無效不等於無能。無效當然業績就難看。當然老闆不會相信。那可以問誰!!天才最怕亂七八糟
"
"

aavicky

","
Xantia_L wrote:那你怎麼沒有佳舞芬看(恕刪)
你是失眠哦，半夜4點還在留言
"
"

davidchange

","
aavicky wrote:你是失眠哦，半夜4點(恕刪)
妳出院了嗎?我擔心妳好一陣子了
"
"

aavicky

","
davidchange wrote:妳出院了嗎?我擔心妳(恕刪)
剛出院謝謝你的關心
"
"

davidchange

","
aavicky wrote:剛出院兩天，昨天去高(恕刪)
人平安健康就好主保佑妳
"
"

好圖狼

","
davidchange wrote:人平安健康就好主保佑(恕刪)
\\
"
"

普羅登

","
好圖狼 wrote:\\(恕刪)
好多鳥在上面啊...
"
"

min9821

","
鳥在看太陽人看日環蝕
"
"

Mister Seventy Eight

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的(恕刪)
我先去爬些廢文來給五分壓壓驚
"
"

handful

","
Mister Seventy Eight wrote:我先去爬些廢文來給五(恕刪)
X.... 78哥還在啊？78妹也在嗎？
"
"

Masterchen1

","
多鼓勵少責備
"
"

aavicky

","
handful wrote:X.... 78哥還在啊？78妹也在嗎？(恕刪)
所以 是公的 還是 母的？？
"
"

handful

","
aavicky wrote:所以 是公的 還是 (恕刪)
一公一母，是兩個人... 
"
"

喬大叔

","
handful wrote:一公一母，是兩個人...
一人雙化??...
"
"

handful

","
喬大叔 wrote:一人雙化??...(恕刪)
不是啊，是兩個人，ID 更名還轉生後，最後三個字是醜八怪.... 
"
"

喬大叔

","
handful wrote:不是啊，是兩個人，ID 更名還轉生後，最後三個字是醜八怪...
色夫太嫩了...沒跟上這段歷史...
"
"

aavicky

","
handful wrote:不是啊，是兩個人，ID最後三個字是醜八怪....(恕刪)
最近 亂爬文，有看過 ，很漂亮的女生，非常漂亮的女生而且𣎴是靠修圖
"
"

喬大叔

","
aavicky wrote:最近 亂爬文，有看過 ，很漂亮的女生，非常漂亮的女生而且𣎴是靠修圖
哪...
"
"

min9821

","
是不是醜七怪的妹妹醜八怪
"
"

人民幣

","
aavicky wrote:最近 亂爬文，有看過(恕刪)
麻煩 給個連結 謝謝
"
"

微涼之境

","
chiang wrote:各位知道我們設立給分(恕刪)
想要有意義的給分，提升用戶停留率。這要看蔣大想把網站引導到什麼方向，「亚洲最大」直男秘密基地，绿帽文化发源处，直男究竟爱虎撲什么？- IC實驗室出品https://www.youtube.com/watch?v=4jXbex2FADk
"
"

我真的是個送外賣的

","
真怪給分也沒什麼明確的功用這篇文章卻一直置頂有什麼意義嗎???
"
"

min9821

","
 在等a大給連結，所以一直置頂。
"
"

yuffany

","
Shirley6790 wrote:搶頭香的寫得太好笑了(恕刪)
糟糕，搶頭香的分數比開版蔣大還高是說閒聊版這樣開開玩笑沒什麼，到時事區看分數才知道什麼是成群結黨，分數用來拉抬自己人，一個個分數比高的。站方拿給評資料去分析一定可以畫出精確的派系圖
"
"

asemia

","
給分很主觀的不用太拘束吧 想給就給~~
"
"

macross_sato

","
給分的意義， 就是「像極了愛情」
"
"

嘿喲嘿

","
目前看來最不需思考，最叭噗的發文，分數最高辛辛苦苦寫了故事，加了見解。期待與網友交流的文章分數都低，甚至沒人回但也不意外啦...冏星人推薦書，超粒方講電影，塞門講戈登拉姆齊，平均幾十萬~都比不上一個女人說""我覺得幫男生口交啊......""的200萬點擊量，
"
"

macross_sato

","
嘿喲嘿 wrote:辛辛苦苦寫了故事，加了見解。期待與網友交流的文章分數都低，甚至沒人回
這樣的感覺， 是不是像極了愛情？
"
"

tseryow

","
在這混了快10年我才知道有給分這回事太混了
"
"

Hinata83

","
常常在回覆可能我都是廢言...沒人要裡我
"
"

macross_sato

","
Hinata83 wrote:常常在回覆可能我都是(恕刪)
怎麼回覆都沒人要裡， 這樣的感覺， 是不是像極了愛情？
"
"

stevengis

","
有給分功能應該也要有負評功能，希望是可以齊全一點
"
"

喬大叔

","
stevengis wrote:有給分功能應該也要有負評功能，希望是可以齊全一點
院長說了...chiang wrote:負分只會讓事情變得更糟，如果這篇文章真的不好，你可以按上一頁離開就好
"
"

stevengis

","
喬大叔 wrote:院長說了...(恕刪)
凡事都有正反兩面，我是覺得不會變的更糟，只會變的更好。
"
"

喬大叔

","
stevengis wrote:凡事都有正反兩面，我是覺得不會變的更糟，只會變的更好。
顏色的反面是什麼??...
"
"

stevengis

","
喬大叔 wrote:顏色的反面是什麼??(恕刪)
太深澳了答不出來
"
"

喬大叔

","
stevengis wrote:太深澳了答不出來
吾等...只得建議...至於院長...有他的考量...站是他的...他決意如此...咱便這樣用便是了...
"
"

stevengis

","
喬大叔 wrote:吾等...只得建議.(恕刪)
了解謝謝
"
"

chiang

","
網路霸凌很可怕的，不是每一個人的內心都夠堅強，可以擋得住鄉民的砲火分享一篇文章沒拿到分數你可能會覺得寂寞孤單有點冷，可是如果是分享文章拿到一堆負評，那就不是有點冷蓋條被子可以解決的事了所以我會鼓勵看到好文章不要吝嗇的給分，但反之如果文章不好就按上一頁離開就好了
 "
"

喬大叔

","
chiang wrote:分享一篇文章沒拿到分數你可能會覺得寂寞孤單有點冷，可是如果是分享文章拿到一堆負評，那就不是有點冷蓋條被子可以解決的事了
除了蓋被子...還要有人陪才能解決??...
"
"

瞳顏無忌

","
chiang wrote:網路霸凌很可怕的，不是每一個人的內心都夠堅強，可以擋得住鄉民的砲火分享一篇文章沒拿到分數你可能會覺得寂寞孤單有點冷，可是如果是分享文章拿到一堆負評，那就不是有點冷蓋條被子可以解決的事了所以我會鼓勵看到好文章不要吝嗇的給分，但反之如果文章不好就按上一頁離開就好了
在網路上用令人害怕的噁圖和語言威脅恐嚇也很可怕～～話說蔣院長您還好嗎？....(*^.^*)
"
"

macross_sato

","
院長, 你的被子可以解我蓋嗎?我孤單寂寞覺得冷.........................
"
"

01白虎哥

","
chiang wrote:網路霸凌很可怕的，不(恕刪)
請問院長為何網頁版給分都無效 (就是有給分但更新網頁沒出現分數)阿?只剩手機版給分有用請幫忙修正一下在下一直努力給分 鼓勵大家多多發文
"
"

chiang

","
01白虎哥 wrote:請問院長為何網頁版給分都無效 (就是有給分但更新網頁沒出現分數)阿?只剩手機版給分有用請幫忙修正一下
我要請工程師查一下，不過.............你不要亂給分啊，到時候被加入黑名單
"
"

喬大叔

","
chiang wrote:你不要亂給分啊，到時候被加入黑名單
...
"
"

Kaito Model
 
","
macross_sato wrote:院長, 你的被子可以解我蓋嗎?我孤單寂寞覺得冷.........................
兩個人一起蓋吧! 抱在一起會更暖和! 
"
"

macross_sato

","
請問院長，最近有幾個文寫得很不錯， 我摘錄重要部分你看看：李後天：因為需要錢 所以分享出來 希望你們可以多幫忙推廣一下 喜歡大奶的可以加賴瞭解一下 絶對是真實照片資料：163/47/23/D+聯絡ID：45aa4JJ：ID：jj655 童顏巨乳學生妹超級卡哇伊請問這兩個文我可以給五分嗎？
"
"

輕舞飛揚01

","
大家早安安安安雖然今天是周一但只要再撐兩天就是愉快的連假希望大家都有放假前的好心情
"
"

Kaito Model

","
輕舞飛揚01 wrote:大家早安安安安雖然今天是周一但只要再撐兩天就是愉快的連假希望大家都有放假前的好心情
蔣大,美女特來跟您問安,需不需要加個分?
"
"

輕舞飛揚01

","
Kaito Model wrote:蔣大,美女特來跟您問(恕刪)
光速逃......................
"
"

min9821

","
macross_sato wrote:請問這兩個文我可以給五分嗎？
我覺得那只是廣告，不可以加5葷，要你寫實際援助心得的文才能加5葷。
"
"

macross_sato

","
min9821 wrote:我覺得那只是廣告，不(恕刪)
真的嗎？寫實際援助過程，蔣大會幫我戴綠色小帽帽嗎？
"
"

喬大叔

","
macross_sato wrote:真的嗎？寫實際援助過程，蔣大會幫我戴綠色小帽帽嗎？
試試...看會有綠帽...還是獄帽...
"
"

涼山蔔

","
01白虎哥 wrote:請問院長為何網頁版給(恕刪)
我剛剛試了一下用電腦,+5分分數有增加喔還是您說的是在手機用網頁版??我再試試
"
"

coco168cc

","
2樓我真的不的不給分 ....
"
"

01白虎哥

","
涼山蔔 wrote:我剛剛試了一下用電腦(恕刪)
我發現問題點了例如某一頁有10篇文章 一口氣洗分的話第一篇給5分 按確定後 網頁就出現5分第二篇 要給分時 系統會自動跳出來 5分的選項會讓人 ""誤以為要給5分了"" 此時按了確定 網頁出現0分一路洗下去全部都0分-----所以第二篇要給分時 系統跳出來的 ""預設給5分"" 在以前是可以用的現在不知為啥 那個是假的一定要""再點一次 給五分"" 才會真正的寫入然後再按確定才成功可是手機版就沒這問題一路洗下去開心的很
"
"

macross_sato

","
01白虎哥 wrote:我發現問題點了例如某(恕刪)
虎哥的實驗是正確的說!我剛剛照虎哥說法給COCO 妹妹 五分~然後再給虎哥五分, 就沒辦法說!那我現在要給虎哥五分, 要等到我下面有人發文才可以嗎?可是虎哥按來按去熬夜多天才發現這個大問題, 蔣大到現在還是不改這個問題,是不是蔣大刻意不讓大家一路給分給到爽?
"
"

01白虎哥

","
macross_sato wrote:虎哥的實驗是正確的說(恕刪)
會不會要加入VIP 才可以連續給分??
"
"

macross_sato

","
01白虎哥 wrote:會不會要加入VIP (恕刪)
虎哥， 你看！我可以給上一個虎哥五分了！所以這是蔣大的手段啦！就是要你發文，等人回覆， 再發一篇掩護文！這樣才可以得五分！！！！
"
"

stevengis

","
得到的分數有什麼好處嗎?比如100分換一支加倍加棒棒糖
"
"

01白虎哥

","
stevengis wrote:得到的分數有什麼好處(恕刪)
因為院長說發文是功德所以要獎勵大家多發文所以都給分
"
"

01白虎哥

","
macross_sato wrote:虎哥， 你看！我可以(恕刪)
我用網頁版給你五分看看等下會不會不見
"
"

macross_sato

","
01白虎哥 wrote:因為院長說發文是功德(恕刪)
做功德這一樓可以給五分， 也確實出現
"
"

macross_sato

","
01白虎哥 wrote:我用網頁版給你五分看(恕刪)
這一樓就不能！所以蔣大就是不改！
"
"

xxK小妹xx

","
macross_sato wrote:這一樓就不能！所以蔣...(恕刪)
加好友可以吧，已加😁
"
"

macross_sato

","
xxK小妹xx wrote:加好友可以吧，已加&...(恕刪)
偏不加
"
"

xxK小妹xx

","
macross_sato wrote:偏不加...(恕刪)
已取消關注😁
"
"

macross_sato

","
xxK小妹xx wrote:已取消關注&#128513...(恕刪)
乾淨純潔宛如處子
"
"

xxK小妹xx

","
macross_sato wrote:乾淨純潔宛如處子...(恕刪)
你是怕人家找你借錢哦？😏
"
"

macross_sato

","
xxK小妹xx wrote:你是怕人家找你借錢哦(恕刪)
我怕太多人愛上我,但是我只要艾曼達
"
"

ANDYLIU66Y

","
chiang wrote:各位知道我們設立給分...(恕刪)
没圖也有分哦？
"
"

街角的癡漢

","
macross_sato wrote:做功德這一樓可以給五(恕刪)
高級書僮是你嗎
"
"

macross_sato

","
街角的癡漢 wrote:高級書僮是你嗎
不是低！ 漢漢～～～偶是人稱一流， 刀一流，一瀉春水向東流之低級小茶壺........
"
"

qteja

","
chiang wrote:各位知道我們設立給分給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵(恕刪)
了解
"
"

jimmy1

","
希望蔣大認真看待 自己辛辛苦苦建立的網站評分被濫用 真的不是一天兩天的事很多好文章都已鮮少出現在此要用心經營啊⋯⋯chiang wrote:各位知道我們設立給分(恕刪)
"
"

喬大叔

","
jimmy1 wrote:希望蔣大認真看待 自己辛辛苦苦建立的網站評分被濫用 真的不是一天兩天的事很多好文章都已鮮少出現在此要用心經營啊⋯⋯
分數不具太大意義...好文不會因分數而出現...
"
"

jimmy1

","
是啊 你的出現就是範例當年是因為相機資訊連結到01當時有非常多有用的文章可參考現在的01 很多都是嘴炮高手 分數 的確沒有任何意義我認同蔣大的態度 該省思的 不只是會員權益 也是行為不是發一堆廢文就好了喬大叔 wrote:分數不具太大意義..(恕刪)
"
"
 
喬大叔

","
jimmy1 wrote:是啊 你的出現就是範...(恕刪)
蛤⋯色夫自知無才⋯所以沒過發文⋯也多只在閒聊區內閒聊⋯矛頭指向色夫幹嘛⋯
"
"

人民幣

","
jimmy1 wrote:我認同蔣大的態度 該省思的 不只是會員權益 也是行為不是發一堆廢文就好了
我要幫蔣大說句話 雖然我被關過七次文字獄 是很不爽01沒錯但在商言商 01算是蔣大的品牌 出去做副業 投資 等 他是很好的擔保品重要的是 01收了 我的女神就失業了 我是很願意養她 可不知她願意嗎另外 標案拿到歸拿到 錢當然要賺 但道德上還是要裝一下 好嗎
"
"

macross_sato

","
給分的目的在增進人類全體之生活，給分的意義在創造宇宙繼起之生命。所以，我覺得給分很重要，尤其是給我分數。
"
"

01白虎哥

","
macross_sato wrote:給分的目的在增進人類(恕刪)
來洗分幫吧人人數十萬起跳
"
"

ppopp747

","
再次回應給建議黑名單為什麼只有100名額啊就算VIP也只有200名應該無上限才對啊我光是時事區拉黑那些綠蛆半年就滿了綠蛆一直開分身共用帳號發廢文假消息也沒看你們處置現在想眼不見為凈都不行
"
"

潛出水面

","
應該除了可以點讚還要增加可以點差兩邊不能互抵
"
"

喬大叔

","
潛出水面 wrote:應該除了可以點讚還要增加可以點差兩邊不能互抵
樓主說了...chiang wrote:負分只會讓事情變得更糟，如果這篇文章真的不好，你可以按上一頁離開就好
"
"

Vincent2133

","
我忍不住給頭香五分
"
"

macross_sato

","
為什麼蔣大不讓大家用點數換王子麵呢？或是捐點數， 換愛心活動！比如：你每捐10點數， 蔣大就大發慈悲捐10萬做公益這樣大家說， 後母厚阿？？？
"
"

老何boss

","
jimmy1 wrote:當年是因為相機資訊連結到01當時有非常多有用的文章可參考
+1.我也是看相機資訊.才跑到這裡.相機版的給分.就很值得效法啦 !
"
"

macross_sato

","
老何boss wrote:+1.我也是看相機資訊.才跑到這裡.
+1.我也是看相機版照片.才跑到這裡.
"
"

 NeverGiveUp!!

","

macross_sato wrote:+1.我也是看相機版(恕刪)
"
"

macross_sato

","
NeverGiveUp!! wrote:(恕刪)
相機版+1
"
"

老何boss

","
macross_sato wrote:相機版+1(恕刪)
我發了許多好文.[攝影古今談].已發了一千多文囉!尼們都沒有給分耶?
"
"

macross_sato

","
老何boss wrote:我發了許多好文.[攝(恕刪)
何老闆拍謝， 如果能多加一些美女model的泳裝外拍照，小弟弟我必定前去茄嫵芬！
"
"

dplantis0330

","
macross_sato wrote:為什麼蔣大不讓大家用(恕刪)
我建議，只開放專業版面有給分機制，像是閒聊或是時事版那類的版面，就不用了.(正常來說，積分應該是正比於對討論專業的貢獻度，現在實際上卻變成某些版面同溫層族群在濫用).
"
"

macross_sato

","
dplantis0330 wrote:積分應該是正比於對討論專業的貢獻度
這個........老實說， 閒聊要聊到有深度也需要非常廣泛知識內涵。我其實不排斥相機版或是汽車版電腦手機版有積分獎勵制度， 因為這是這一個網站命根。若是把相機 手機 汽車 電腦 等版面從01刪掉， 我想流量一定會大減。可是硬要積分因不同版而有不同點數價值， 這又很難公平鑑價。所以還是各取所需， 搏曝光或是廣告的， 應該還是照樣會來發文。。。。
"
"

monguly

","
Mobile01 是商業網站，早期透過開箱文等等的方式吸引廠商進駐、廣告等等方式賺錢。而那時 Mobile01的個人分數很難取得，幾乎是文章寫的好不好的證明，也因此吸引了大量開箱文或者好文章進來。 但在這幾年臉書教育的按讚文化後，大家習慣沒事就按加分，搞得分數極容易取得，也嚴重傷害到這網站的生態與生存問題，前陣子連站長蔣大都跳出來哀求大家別到處按加分了。也因為這樣，Mobile01的人氣有下滑，而好文章廣告的部分被臉書、PTT吸走不少人氣。 這網站又不像巴哈姆特那樣開始做起電商，搞得現在得靠網頁廣告維生。但是若有在看國內幾個大型討論區，Mobile01 / Ptt / 巴哈姆特 / Dcard等等，相比之下Mobile01的文章水準、討論風氣仍然很不錯就是了，畢竟瘦死的駱駝比馬大。
"
"

macross_sato

","
人民幣 wrote:瘦死的駱駝比馬大
那就開放積分換取台灣價值，然後再用台灣價值跟總統換新台幣，這樣01一定爆棚阿！
"
"

三角鐵

","
chiang wrote:各位知道我們設立給分(恕刪)
按讚 分享 收藏
"
"

macross_sato

","
三角鐵 wrote:按讚 分享 收藏(恕刪)
分享應該是最值得獎勵！以後有被分享出去就積點，滿100點有蔣大簽名照，滿1000有艾曼達香香照！這樣後母后阿？
"
"

Vincent2133

","
chiang wrote:各位知道我們設立給分(恕刪)
大家搞的像fb按讚
"
"

寂寞的陸仁賈

","
macross_sato wrote:這個...........(恕刪)
瞧不起我的優質廢文嗎？
"
"

macross_sato

","
寂寞的陸仁賈 wrote:瞧不起我的優質廢文嗎(恕刪)
嘉伍芬～～～印景太平山雪景送給廢文大哥 ：
"
"

君子之蕉蛋如水

","
macross_sato wrote:嘉伍芬～～～印景太平(恕刪)
嘉舞芬，我覺得右邊那個戴紅帽子的女生比較敬業，全身上下都凍到沒有血色了。 跟我現在全身慘白一樣，不過我不是凍的，而是因為我所有血液都集中到某一處了。 
"
"

喬大叔

","
君子之蕉蛋如水 wrote:跟我現在全身慘白一樣
不是因為皮被扒了??...
"
"

君子之蕉蛋如水

","
喬大叔 wrote:不是因為皮被扒了??
我潔身自愛從不去剝皮店的。 
"
"

喬大叔

","
君子之蕉蛋如水 wrote:我潔身自愛從不去剝皮店的。
都去價錢公道的...
"
"

君子之蕉蛋如水

","
喬大叔 wrote:都去價錢公道的...
找吹簫萍就對了。 
"
"

macross_sato

","
君子之蕉蛋如水 wrote:集中到某一處
呀！小二的小朋友也了解喔！
"
"

君子之蕉蛋如水

","
macross_sato wrote:呀！小二的小朋友也了(恕刪)
有點好奇這位小朋友是拿誰的GG來做範本的?他爸爸的?還是隔壁王叔叔的? 
"
"

macross_sato

","
君子之蕉蛋如水 wrote:隔壁王叔叔
哇！大家看看！這個給分實在很唬爛！香蕉哥說要集中，偶就想到小妹妹長大需要集中，結果沒得分！後來香蕉哥哥說隔壁王叔叔，這樣就得到五分！這是什麼天理啊？？？？
"
"

君子之蕉蛋如水

","
macross_sato wrote:這是什麼天理啊？？？？
你才沒天理，你全家都沒天理 (註) 院長有規定隔壁王叔叔不能登入來幫我嘉舞分嗎? 好啦，我也都幫你嘉舞分不就好了。註:我是說你全家都又帥又美的沒天理 
"
"

macross_sato

","
君子之蕉蛋如水 wrote:院長有規定隔壁王叔叔不能登入
這個我知道喔！院長有規定隔壁王叔叔不能登入喔！所以幫香蕉哥哥加分的是院長夫人！小弟弟我一直想知道院長為什麼這麼討厭王叔叔說！！？？
"
"

納豆麵線

","
只能給五分了
"
"

macross_sato

","
麵線，看了我好餓！
"
"

naydi

","
好喔 我給5分
"
"

macross_sato

","

"
"

紐約紐約好遠

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的...(恕刪)
 笑死！
"
"

macross_sato

","
給我分數吧！
"
"

我真的是個送外賣的

","
macross_sato wrote:給我分數吧！(恕刪)
沒問題都要過年了就來舞芬大方送吧!
"
"

01白虎哥

","
456
"
"

輕舞飛揚01

","
01白虎哥 wrote:456...(恕刪)
虎哥超強運
"
"

美娜米

","

"
"

美娜米

","
喬大叔 wrote:好喔...(恕刪)
真簡略
"
"

美娜米

","
輕舞飛揚01 wrote:虎哥超強運(恕刪)
羨慕我只有300多分
"
"

喬大叔

","
美娜米 wrote:真簡略...(恕刪)
⋯嗨⋯米⋯
"
"

美娜米

","
喬大叔 wrote:⋯嗨⋯米⋯(恕刪)
嗨 跟
"
"

美娜米

","
美娜米 wrote:嗨 跟(恕刪)
快來給我打分數
"
"

美娜米

","
喬大叔 wrote:⋯嗨⋯米⋯(恕刪)
寫文章模式 所見所得是什？
"
"

美娜米

","
美娜米 wrote: 寫文章模式 所見所得(恕刪)
 "
